X [mm],Y [mm],Z [mm],mX [mm],mY [mm],mZ [mm],inFieldTag
-12.4,6.2,-1.4,-12.0418,6.02088,-30.25,0.0666337
12.4,-6.2,35.8,11.6093,-5.80464,-30.25,0.0710908
0,-6.2,-1.4,0,-6.02088,-30.25,1
12.4,6.2,-13.8,12.1932,6.09658,-30.25,0.0651992
-12.4,-6.2,11,-11.8941,-5.94703,-30.25,0.0680934
-12.4,6.2,11,-11.8941,5.94703,-30.25,0.0680934
0,6.2,23.4,0,5.87498,-30.25,1
12.4,-6.2,11,11.8941,-5.94703,-30.25,0.0680934
0,6.2,11,0,5.94703,-30.25,1
12.4,6.2,23.4,11.75,5.87498,-30.25,0.0695789
12.4,6.2,11,11.8941,5.94703,-30.25,0.0680934
0,6.2,35.8,0,5.80464,-30.25,1
0,-6.2,35.8,0,-5.80464,-30.25,1
0,6.2,-13.8,0,6.09658,-30.25,1
12.4,-6.2,23.4,11.75,-5.87498,-30.25,0.0695789
12.4,6.2,35.8,11.6093,5.80464,-30.25,0.0710908
0,-6.2,-13.8,0,-6.09658,-30.25,1
0,-6.2,11,0,-5.94703,-30.25,1
12.4,-6.2,-13.8,12.1932,-6.09658,-30.25,0.0651992
-12.4,6.2,23.4,-11.75,5.87498,-30.25,0.0695789
12.4,6.2,-1.4,12.0418,6.02088,-30.25,0.0666337
-12.4,-6.2,-13.8,-12.1932,-6.09658,-30.25,0.0651992
12.4,-6.2,-1.4,12.0418,-6.02088,-30.25,0.0666337
0,-6.2,23.4,0,-5.87498,-30.25,1
-12.4,-6.2,35.8,-11.6093,-5.80464,-30.25,0.0710908
0,6.2,-1.4,0,6.02088,-30.25,1
-12.4,-6.2,-1.4,-12.0418,-6.02088,-30.25,0.0666337
-12.4,6.2,35.8,-11.6093,5.80464,-30.25,0.0710908
-12.4,-6.2,23.4,-11.75,-5.87498,-30.25,0.0695789
-12.4,6.2,-13.8,-12.1932,6.09658,-30.25,0.0651992
